starname,ra_act,dec_act,x_act_mx1,x_act_mx2,x_act_mx3,x_act_my3,x_act_my4,x_act_px1,x_act_px2,x_act_px3,x_act_py1,x_act_py2,x_act_py3,x_act_py4,x_img_mx1,x_img_mx2,x_img_mx3,x_img_my3,x_img_my4,x_img_px1,x_img_px2,x_img_px3,x_img_py1,x_img_py2,x_img_py3,x_img_py4,y_act_mx1,y_act_mx2,y_act_mx3,y_act_my3,y_act_my4,y_act_px1,y_act_px2,y_act_px3,y_act_py1,y_act_py2,y_act_py3,y_act_py4,y_img_mx1,y_img_mx2,y_img_mx3,y_img_my3,y_img_my4,y_img_px1,y_img_px2,y_img_px3,y_img_py1,y_img_py2,y_img_py3,y_img_py4,v_global_x,v_global_y,v_global_z,err_mag_mx3,err_r_mx3,err_ang_mx3,err_mag_py3,err_r_py3,err_ang_py3,err_mag_my3,err_r_my3,err_ang_my3,err_mag_px1,err_r_px1,err_ang_px1,err_mag_px3,err_r_px3,err_ang_px3,err_mag_mx2,err_r_mx2,err_ang_mx2,err_mag_my4,err_r_my4,err_ang_my4,err_mag_px2,err_r_px2,err_ang_px2,err_mag_py4,err_r_py4,err_ang_py4,err_mag_py2,err_r_py2,err_ang_py2,err_mag_mx1,err_r_mx1,err_ang_mx1,err_mag_py1,err_r_py1,err_ang_py1
50Hya,213.192,-27.261,,,,,,,,,1122.471,,,,,,,,,,,,1124.4,,,,,,,,,,,,959.561,,,,,,,,,,,,958.09,,,,-0.7438922033348423,-0.4866410867506238,-0.45804458571606943,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,,,69.41681698623475,2.4258775731681816,415.43952399837946,69.41681698623475
51Hya,215.774,-27.754,,,,,,,,,1178.236,,,,,,,,,,,,1179.74,,,,,,,,,,,,909.601,,,,,,,,,,,,907.81,,,,-0.7179899201241422,-0.5173355346777974,-0.46567630298283963,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,,,69.83026438917287,2.3387383350858015,445.64280954594113,69.83026438917287
52Hya,217.043,-29.492,,,,,,,,,1179.146,,,,,,,,,,,,1180.19,,,,,,,,,,,,843.769,,,,,,,,,,,,842.05,,,,-0.6947585396811451,-0.5243560642214063,-0.49230203072337547,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,,,84.48047805661254,2.0111929295819375,428.7126993687031,84.48047805661254
53Vir,198.015,-16.199,,,,,,,,,870.914,,,,,,,,,,,,876.9,,,,,,,,,,,,1493.264,,,,,,,,,,,,1492.89,,,,-0.9132204782811465,-0.29698766385753406,-0.27897434571013624,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,,,82.15473466996151,5.997672215118106,742.7271720490642,82.15473466996151
54Hya,221.503,-25.444,,,,,,,,,1364.809,,,,,,,,,,,,1365.86,,,,,,,,,,,,885.509,,,,,,,,,,,,882.51,,,,-0.6762799005501154,-0.598385043513414,-0.4296287185598463,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,,,82.32751788632811,3.1778297625895564,618.7114914885611,82.32751788632811
55Hya,221.844,-25.624,,,,,,,,,1370.032,,,,,,,,,,,,1371.04,,,,,,,,,,,,875.006,,,,,,,,,,,,871.92,,,,-0.6716978026158371,-0.6014959762246384,-0.43246346960942866,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,,,82.09306426343869,3.246453449535378,621.7872851707407,82.09306426343869
55Vir,198.545,-19.931,,,,,,,,,839.139,,,,,,,,,,,,844.27,,,,,,,,,,,,1363.817,,,,,,,,,,,,1363.81,,,,-0.8912881381764033,-0.29899942981285055,-0.34088824520307387,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,,,82.38998630482132,5.13100477489543,610.2266210187818,82.38998630482132
56Hya,221.937,-26.087,,,,,,,,,1363.275,,,,,,,,,,,,1364.19,,,,,,,,,,,,860.842,,,,,,,,,,,,857.82,,,,-0.6680991002661807,-0.6002302624631334,-0.4397354025399341,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,,,82.25782187377332,3.1574846001207253,612.6310623042224,82.25782187377332
57Hya,221.99,-26.646,,,,,,,,,1353.629,,,,,,,,,,,,1354.45,,,,,,,,,,,,844.786,,,,,,,,,,,,841.85,,,,-0.6643231034169048,-0.5979492949580058,-0.44847681648637805,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,,,81.64383672915139,3.0486287081243217,600.6221982244746,81.64383672915139
57Vir,198.995,-19.943,,,,,,,,,851.758,,,,,,,,,,,,856.83,,,,,,,,,,,,1358.048,,,,,,,,,,,,1357.97,,,,-0.8888448095994343,-0.3059670517564104,-0.34108513261007944,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,,,83.19141435999225,5.072599727950159,606.3328044894157,83.19141435999225
