starname,ra_act,dec_act,x_img_py4,y_img_py4,x_act_py4,y_act_py4
delta1 chamaeleontis,161.31531038289378,-80.46972273084853,228.13999938964844,1038.4100341796875,223.615087852574,1034.7689852887652
delta2 aps,245.1116404695278,-78.66733079020182,19.989999771118164,624.0499877929688,16.780969383434467,617.5757163679395
delta2 chamaeleontis,161.4436648446503,-80.5402494913737,225.89999389648438,1037.3900146484375,221.37825854622247,1033.7436220275818
epsilon Aps,215.59448488129303,-80.10888736300998,154.17999267578125,760.239990234375,150.81748297350703,755.0607413720267
epsilon Cen,204.9719728150377,-53.46630631849501,914.9500122070312,362.2200012207031,916.9386478074166,359.43058052894435
epsilon Cha,179.90521683012415,-78.22188939751518,304.8299865722656,926.0399780273438,301.21852293076057,922.3626516410623
epsilon Cir,229.41185326821497,-63.610498474121094,403.3599853515625,268.8800048828125,403.6427947401123,262.9203536845416
epsilon Cru,185.3397773012286,-60.40122374810113,842.9099731445312,755.3200073242188,842.4470793194357,753.8508192936858
epsilon Men,111.40846214416855,-79.09403032090928,88.25,1312.8900146484375,81.7337887589805,1309.5761608045727
epsilon Mus,184.3922355739465,-67.96071917046442,618.5900268554688,822.6199951171875,616.831178717513,820.2079611690814
epsilon TrA,234.17990871246207,-66.31719342719184,297.5,303.82000732421875,297.13355088576657,297.4518296768324
eta Aps,214.55670759277604,-81.00761111111112,135.2100067138672,784.22998046875,131.6528030941147,779.0489112441262
eta Cha,130.33206603512306,-78.9634691704644,191.11000061035156,1227.5799560546875,185.44724109948652,1224.4809374782276
eta Cir,226.2006054007453,-64.0315313381619,432.9200134277344,309.92999267578125,433.1147462882181,304.30815326175525
eta Cru,181.72006478701158,-64.61366514078776,726.9000244140625,833.6400146484375,725.531734230525,831.8747706154433
eta Mus,198.8120609028493,-67.8946090766059,563.6599731445312,663.8800048828125,562.509262018659,660.5157825000066
eta Vol,125.51900945826014,-73.4003904147678,305.510009765625,1380.27001953125,299.495980007506,1378.3771005846802
eta1 tra,250.3470636353283,-68.2961106024848,67.87000274658203,270.75,66.6991184632567,262.99619356330186
gamma Cen,190.37917099776772,-48.95963965182834,1165.1099853515625,566.5,1167.055958110312,565.9651755714442
gamma Cha,158.86673132159748,-78.60766514078776,286.7699890136719,1062.43994140625,282.3665255449743,1059.2125858757227
gamma Cir,230.84455986929405,-59.32077676052517,465.44000244140625,137.16000366210938,466.69308638529776,130.94600422188842
gamma Cru,187.79146419856744,-57.11319291856554,931.22998046875,690.72998046875,931.4961097282691,689.4556391792951
gamma Mus,188.11663966959622,-72.13294647894965,482.04998779296875,817.8599853515625,479.74856623697684,814.6904103426336
gamma TrA,229.7273802831117,-68.67941412353515,304.6199951171875,401.489990234375,303.7748862716428,395.5864010412661
iota Car,139.27250889830805,-59.275305301242405,797.1900024414062,1492.800048828125,792.5404132092885,1494.030518745053
iota Cen,200.14931777404342,-36.71227854071723,1478.02001953125,175.3000030517578,1483.5148295032122,174.71058176028828
iota Cha,141.03807307452104,-80.78708282470703,178.25999450683594,1140.1099853515625,173.00226401205794,1136.6022563603008
iota Cru,191.40779975015948,-60.98122273084852,799.4099731445312,672.5399780273438,799.2150007187441,670.4817904333432
iota Lup,214.85091718538106,-46.05786034817166,1000.3900146484375,37.470001220703125,1004.5258507681552,33.676144235450465
iota Oct,193.74474417134934,-85.12327981228299,59.810001373291016,926.1300048828125,55.19162028330902,921.1234403909468
iota TrA,246.98850350326393,-64.05791971842449,155.4600067138672,145.72000122070312,155.3238440339136,137.8668190432586
iota1 musca,201.27989938240918,-74.88772018771701,355.04998779296875,743.0399780273438,352.61096649822065,738.8690567635059
kappa Cha,181.19350653664813,-76.51908689371744,358.6199951171875,907.7000122070312,355.333310464449,904.23572500238
kappa Cru,193.45445061879792,-60.37683155314128,806.22998046875,636.9099731445312,806.264163536368,634.733508629987
kappa Oct,205.23249196518165,-85.78597171359593,23.739999771118164,910.0599975585938,19.061345279832835,904.782336238219
kappa TrA,238.87300115168327,-68.6031095852322,206.67999267578125,339.07000732421875,205.75512289215885,332.3702876730813
kappa1 aps,232.87817532375408,-73.38960907660591,190.52999877929688,510.3500061035156,188.6280442830688,504.30848524074986
kappa1 volans,124.95434230279643,-71.51497222222223,347.6700134277344,1428.6400146484375,341.57159267553504,1427.174155702761
kappa2 aps,235.08836502720928,-73.44672323947482,170.5500030517578,500.989990234375,168.61186636659409,494.80076362434465
kappa2 volans,125.01894280225923,-71.49669088406033,348.2799987792969,1428.43994140625,342.52698712916026,1427.0423624864534
lambda Cen,173.94503962466914,-63.01974974568685,789.2100219726562,932.9199829101562,787.563106336557,931.8949585493108
lambda Cru,193.66310723423211,-59.146529557969835,840.6199951171875,619.969970703125,840.8947227436167,617.9149375329627
lambda Mus,176.40160907407477,-66.72869495307074,671.8699951171875,910.4299926757812,669.8519540389685,908.6731030220037
mu chameleon,150.18135431448184,-82.21466361490886,154.52000427246094,1079.47998046875,149.48176355223995,1075.608381013491
mu1 crucis,193.65341295209947,-57.16822349378798,897.8400268554688,597.7899780273438,898.7217952547181,595.7569617635004
mu2 crucis,193.6483887560307,-57.177779049343535,898.0900268554688,597.6099853515625,898.4720327047903,595.9447019577215
nu Cha,146.58804841120494,-76.77605911593967,316.9200134277344,1162.0899658203125,312.1137260169699,1159.4068436011692
omega Car,153.43423302052125,-70.03788838026259,545.9400024414062,1169.3499755859375,542.0281571343016,1167.9577372463007
omega Oct,227.7843861644706,-84.78755504692926,3.059999942779541,843.02001953125,-1.3550641403554664,837.3657502568493
omicron1 centaurus,172.94223590663074,-59.4422510172526,901.219970703125,941.4400024414062,899.9900393711252,941.0565050395141
omicron2 centaurus,172.95276338877483,-59.51566666666667,898.9199829101562,941.3800048828125,897.6824921774103,940.9932336898556
phi Cen,209.5677516589272,-42.10074847412109,1186.239990234375,57.59000015258789,1191.0982345267726,54.88713994281534
phi Vel,149.21560300095052,-54.56769342719184,1008.1300048828125,1380.010009765625,1004.9456571615904,1381.9569705791284
pi Cen,170.25200384602743,-54.49100025431315,1059.3499755859375,983.030029296875,1058.5544919052488,983.6680298615807
pi Cha,174.31445218688202,-75.89647018771701,384.4700012207031,957.010009765625,381.0293690027601,953.8870172387151
pi1 octantis,225.45891240485898,-83.22752828640408,43.5,805.1099853515625,39.46429156351246,799.5173116908378
pi2 octantis,226.1944605506612,-83.03819393581814,45.06999969482422,798.2899780273438,41.0643427696574,792.6792674968019
rho Cen,182.91302808023104,-52.3685537753635,1097.780029296875,739.760009765625,1098.4837729354144,739.5957802081462
rho Lup,219.47158954303245,-49.42561238267687,846.47998046875,34.38999938964844,849.9657662083735,29.745085854851823
sigma Cen,187.01007755413792,-50.23077828640408,1145.4100341796875,645.0399780273438,1146.832828463092,644.7301996485021
sigma Lup,218.1538670461057,-50.45700076293945,839.75,81.7300033569336,842.9383422672017,77.2706843483993
tau Cen,189.42564689440374,-48.54122171359592,1184.280029296875,581.3300170898438,1186.2228811273883,580.9676038545634
theta Aps,211.3323743191273,-76.79672171359591,257.989990234375,711.3699951171875,255.31515464456737,706.5473695081878
theta Car,160.73885344726872,-64.39438685438368,739.75,1115.5999755859375,736.9063727559663,1115.0539006378153
theta Cha,125.1606576261986,-77.48449643961588,203.10000610351562,1288.5400390625,197.16889188692187,1285.7419852134444
theta Cir,224.18336232650933,-62.780833079020184,481.739990234375,298.510009765625,482.1997025417761,293.10310612700323
theta Men,104.14284797595488,-79.4202196790907,37.63999938964844,1328.949951171875,30.83424246346783,1325.4244267223553
theta Mus,197.02916200039908,-65.3062530517578,645.9600219726562,649.47998046875,645.2482242903493,646.4955944340144
theta TrA,248.93637434455053,-65.49566310628255,112.12999725341797,182.91000366210938,111.60962454325932,175.01405299730732
theta Vol,129.7714257382932,-70.3868590766059,412.7099914550781,1409.2900390625,406.9735116507261,1408.1133681537235
theta1 crucis,180.75646146608844,-63.312888125949435,768.7999877929688,839.2999877929688,767.5672085025392,837.7769478784604
theta2 crucis,181.07983305909252,-63.16561263699002,772.489990234375,834.0700073242188,771.3060856395202,832.5457815785493
upsilon Car,146.7779205323821,-65.07244342719184,670.6300048828125,1299.6300048828125,666.5065118352495,1299.388578666252
upsilon1 centaurus,209.66986032032455,-44.80352701483832,1105.5,112.83000183105469,1109.6967865184647,109.94742650315811
upsilon2 centaurus,210.43092521647597,-45.603470696343315,1072.8199462890625,114.23999786376953,1076.864470818709,111.18009854166075
xi1 centaurus,195.88818205589104,-49.52733307902018,1108.1099853515625,465.4700012207031,1110.368246402824,464.19079099845794
xi2 centaurus,196.72753025911376,-49.90616819254557,1090.050048828125,454.4800109863281,1092.285886580518,453.0501009253194
zeta Cen,208.8849075798462,-47.28830504692925,1044.47998046875,179.0,1048.0353430939813,176.09325122316045
zeta Cha,143.471702025034,-80.94147323947483,180.2100067138672,1126.050048828125,175.03532899594052,1122.5007794449718
zeta Cru,184.60880758948903,-64.00308333333334,737.280029296875,791.8599853515625,736.1816793131143,789.9674676677315
zeta Oct,134.173401420373,-85.66305708143446,18.229999542236328,1079.0400390625,12.648234359457547,1074.4141616122442
zeta TrA,247.11714792160316,-70.08447476535373,91.93000030517578,343.45001220703125,90.48934042124858,336.1503609927431
zeta Vol,115.46715275297174,-72.60827625189887,243.92999267578125,1476.6600341796875,237.22921267317804,1474.6626423400526
zeta1 musca,185.54947125067702,-68.3075308295356,604.9600219726562,812.1799926757812,603.1972325427217,809.6562985109668
zeta2 musca,185.53081590242172,-67.522142449273,628.7100219726562,806.4099731445312,627.0632845139168,803.9876681761396
