starname,ra_act,dec_act,x_img_py4,y_img_py4,x_act_py4,y_act_py4
alpha Aps,221.96514474094425,-79.0447494913737,150.9199981689453,709.1400146484375,147.81023151786076,703.7266177857223
alpha Cha,124.63177058180328,-76.91963634575738,213.86000061035156,1304.760009765625,207.88801332809442,1302.0951934649095
alpha Cir,220.6167979775984,-64.97855606418186,472.4700012207031,386.54998779296875,472.4523939229094,381.65812575454083
alpha Mus,189.2956426966246,-69.13544240993923,568.5700073242188,778.6699829101562,566.8394905080754,775.8058542292556
alpha Vol,135.61180710953008,-66.39616463216146,563.780029296875,1422.8599853515625,558.576386104183,1422.5511633320984
alpha1 centaurus,219.90067172406194,-60.835359839545355,572.780029296875,299.0199890136719,573.6197882416924,294.10156195823447
alpha1 crucis,186.64975937004945,-63.09902650621202,757.4199829101562,757.780029296875,756.5914540107746,755.8554371661183
alpha2 centaurus,219.90067172406194,-60.835359839545355,572.77001953125,299.0199890136719,573.6197882416924,294.10156195823447
alpha2 crucis,186.64975937004945,-63.09902650621202,757.4000244140625,757.75,756.5914540107746,755.8554371661183
beta Car,138.3003252806887,-69.71719495307075,487.5899963378906,1335.449951171875,482.5481245525291,1334.386314454729
beta Cen,210.95605869481992,-60.372970442030166,675.969970703125,398.760009765625,676.7346595289673,394.84491263492555
beta Cha,184.58599040717678,-79.31216971842449,263.7699890136719,904.3699951171875,260.1036092313575,900.3774432798266
beta Cir,229.3784836077583,-58.801249237060546,496.1199951171875,138.97000122070312,497.4913311617594,132.93184428406767
beta Cru,191.93035864046823,-59.68869546169705,834.4400024414062,651.5399780273438,834.5066747467589,649.5743084632309
beta Mus,191.57039290296333,-68.10816514078776,590.6799926757812,744.0999755859375,589.2201407961952,741.2108179012254
beta TrA,238.78554847848648,-63.43058460489909,283.5400085449219,183.3800048828125,283.7579035666472,176.39386100245974
delta Cen,182.08971064522768,-50.72241717529297,1152.989990234375,745.030029296875,1153.904343428012,745.1907190738939
delta Cir,229.23637884323486,-60.95741742960612,456.29998779296875,199.22999572753906,457.18468431141497,193.24189687474973
delta Cru,183.78614005049457,-58.74883358764649,898.3599853515625,767.219970703125,898.07209104653,766.0947620796486
delta Mus,195.56793912892974,-71.54891615804037,474.3500061035156,743.4299926757812,472.4060541989078,739.9043945040765
delta Oct,216.72858842312823,-83.66780301242405,59.7599983215332,837.8499755859375,55.60042361992657,832.4818300323774
delta TrA,243.85942832349753,-63.685639906141496,206.74000549316406,153.91000366210938,206.7812075043763,146.37928234559422
delta1 aps,245.08659031118498,-78.69580657280817,19.84000015258789,625.010009765625,16.628374664935905,618.53759579922
