starname,ra_act,dec_act,x_img_mx2,y_img_mx2,x_act_mx2,y_act_mx2
alpha Aps,221.96514474094425,-79.0447494913737,1053.31005859375,235.58999633789062,1052.6225596446898,232.87122225809162
alpha Cha,124.63177058180328,-76.91963634575738,485.94000244140625,38.68000030517578,484.2261454179595,36.43069092667247
alpha Cir,220.6167979775984,-64.97855606418186,1209.5899658203125,663.9299926757812,1209.4583931057869,661.5833980298764
alpha Lup,220.48245447118114,-47.38816844685872,1418.4599609375,1214.06005859375,1419.405010096536,1212.2203998231435
alpha Mus,189.2956426966246,-69.13544240993923,813.2999877929688,584.5599975585938,812.6964496787156,582.6530360415039
alpha TrA,252.16637337827683,-69.027642449273,1481.3699951171875,312.5799865722656,1481.4268996017636,309.43121418761575
alpha Vol,135.61180710953008,-66.39616463216146,229.13999938964844,305.760009765625,227.46640150135227,304.2267303066649
alpha1 centaurus,219.90067172406194,-60.835359839545355,1246.489990234375,792.02001953125,1246.7330632434132,789.8396344394126
alpha1 crucis,186.64975937004945,-63.09902650621202,752.0800170898438,764.969970703125,751.6159977877116,763.3736814157143
alpha2 centaurus,219.90067172406194,-60.835359839545355,1246.5,792.0,1246.7330632434132,789.8396344394126
alpha2 crucis,186.64975937004945,-63.09902650621202,752.1099853515625,764.969970703125,751.6159977877116,763.3736814157143
beta Aps,250.7696051962683,-77.51750356038411,1242.5799560546875,146.6199951171875,1242.0747706313634,143.51450234753338
beta Car,138.3003252806887,-69.71719495307075,341.3399963378906,273.8699951171875,339.7546477787205,272.1472408660329
beta Cen,210.95605869481992,-60.372970442030166,1112.5,843.3800048828125,1112.6094787045288,841.4410121416681
beta Cha,184.58599040717678,-79.31216971842449,828.5,254.64999389648438,827.5150433654584,252.26689184826614
beta Cir,229.3784836077583,-58.801249237060546,1423.6600341796875,790.3300170898438,1424.1429120435687,787.933338007092
beta Cru,191.93035864046823,-59.68869546169705,815.9099731445312,880.1099853515625,815.6790735117568,878.5735150628732
