starname,ra_act,dec_act,x_img_my3,y_img_my3,x_act_my3,y_act_my3
pi1 octantis,225.45891240485898,-83.22752828640408,276.79998779296875,1323.5,271.6817346909868,1320.578232461167
pi2 octantis,226.1944605506612,-83.03819393581814,273.0,1317.56005859375,267.8980171666999,1314.6122235692515
rho Cen,182.91302808023104,-52.3685537753635,970.9000244140625,519.25,971.7916729700827,518.575006397559
rho Lup,219.47158954303245,-49.42561238267687,289.32000732421875,204.9600067138672,290.50124049228543,199.72945841298326
rho Oct,235.82038873696328,-84.46524694824218,247.1699981689453,1376.6700439453125,241.68601470656768,1373.6960734304544
sigma Cen,187.01007755413792,-50.23077828640408,936.3400268554688,418.94000244140625,937.7165342283772,417.85541541875375
sigma Lup,218.1538670461057,-50.45700076293945,318.510009765625,242.9199981689453,319.53827026288127,237.9449574866601
tau Cen,189.42564689440374,-48.54122171359592,917.8800048828125,346.6400146484375,919.634784855337,345.29207496522866
tau1 lupus,216.53431117646954,-45.22138939751519,360.5400085449219,61.81999969482422,362.67722484458955,56.6736415850952
tau2 lupus,216.54505945661663,-45.37938710869683,360.05999755859375,67.5199966430664,362.16552711738404,62.381250258914974
theta Aps,211.3323743191273,-76.79672171359591,360.80999755859375,1102.489990234375,357.1025839488575,1099.6046257864787
theta Car,160.73885344726872,-64.39438685438368,990.02001953125,1039.43994140625,987.9944343315206,1039.9983282867004
theta Cir,224.18336232650933,-62.780833079020184,221.89999389648438,651.25,220.43234011149298,646.6279522383777
theta Mus,197.02916200039908,-65.3062530517578,589.530029296875,779.719970703125,588.1260217097855,777.4463483858262
theta Vol,129.7714257382932,-70.3868590766059,971.8499755859375,1481.7900390625,967.2714976259534,1483.149243280826
theta1 crucis,180.75646146608844,-63.312888125949435,812.010009765625,824.6900024414062,810.8183095596249,823.7846145110301
theta2 crucis,181.07983305909252,-63.16561263699002,810.8400268554688,818.3699951171875,809.6889937142846,817.4434406953678
upsilon Car,146.7779205323821,-65.07244342719184,1073.81005859375,1218.43994140625,1070.9106598722358,1219.8092706006282
upsilon1 centaurus,209.66986032032455,-44.80352701483832,527.3599853515625,75.19999694824219,529.7976080033914,71.02228502964533
upsilon2 centaurus,210.43092521647597,-45.603470696343315,505.4599914550781,99.45999908447266,507.704223045964,95.20741423549703
xi1 centaurus,195.88818205589104,-49.52733307902018,781.6599731445312,319.95001220703125,783.2683689901774,317.77503740092993
xi2 centaurus,196.72753025911376,-49.90616819254557,761.1500244140625,325.1600036621094,762.6780477644497,322.87068512881126
zeta Cen,208.8849075798462,-47.28830504692925,531.9500122070312,164.9499969482422,533.8866260112642,161.0051046423597
zeta Cha,143.471702025034,-80.94147323947483,604.4299926757812,1450.6600341796875,599.2635678083816,1449.8620061373729
zeta Cru,184.60880758948903,-64.00308333333334,755.8599853515625,814.0399780273438,754.609610401603,812.7892487828462
zeta Lup,228.0713552489765,-52.09913761732313,105.31999969482422,298.2799987792969,105.56884625033535,292.2204923667287
zeta1 musca,185.54947125067702,-68.3075308295356,677.5599975585938,923.3900146484375,675.525677378308,921.9289255373712
zeta2 musca,185.53081590242172,-67.522142449273,690.0900268554688,902.27001953125,688.1974635391582,900.8335404502359
