starname,ra_act,dec_act,x_img_my4,y_img_my4,x_act_my4,y_act_my4
alpha Aps,221.96514474094425,-79.0447494913737,483.30999755859375,226.94000244140625,484.96612297577326,221.44815332831752
alpha Cir,220.6167979775984,-64.97855606418186,923.510009765625,343.6000061035156,925.7821266803655,341.90113978870653
alpha Lup,220.48245447118114,-47.38816844685872,1491.3299560546875,486.2099914550781,1494.6973933206064,489.10689574709494
alpha Mus,189.2956426966246,-69.13544240993923,632.77001953125,622.75,632.0879860565677,619.8288019966384
alpha Vol,135.61180710953008,-66.39616463216146,69.05000305175781,943.5900268554688,63.99206988471724,937.668302165577
alpha1 centaurus,219.90067172406194,-60.835359839545355,1049.27001953125,386.45001220703125,1051.8197611937499,385.71122390635594
alpha1 crucis,186.64975937004945,-63.09902650621202,745.8800048828125,775.8200073242188,744.4806539114259,774.2763413758004
alpha2 centaurus,219.90067172406194,-60.835359839545355,1049.27001953125,386.42999267578125,1051.8197611937499,385.71122390635594
alpha2 crucis,186.64975937004945,-63.09902650621202,745.9000244140625,775.7999877929688,744.4806539114259,774.2763413758004
beta Aps,250.7696051962683,-77.51750356038411,518.3300170898438,21.309999465942383,521.6176323207379,15.307868956871289
beta Car,138.3003252806887,-69.71719495307075,107.18000030517578,833.02001953125,103.0614665797566,826.9824214949181
beta Cen,210.95605869481992,-60.372970442030166,1015.2000122070312,525.260009765625,1016.6047178126411,524.7886674909576
beta Cha,184.58599040717678,-79.31216971842449,370.489990234375,421.9599914550781,370.3161703923147,416.3675741877366
beta Cir,229.3784836077583,-58.801249237060546,1148.4100341796875,240.8000030517578,1152.3782786514848,240.27143119324592
beta Cru,191.93035864046823,-59.68869546169705,876.6400146484375,789.0700073242188,875.6028075333726,788.5239354914765
beta Mus,191.57039290296333,-68.10816514078776,673.8599853515625,624.5399780273438,673.3032300320294,621.91693411985
beta TrA,238.78554847848648,-63.43058460489909,1003.6400146484375,80.0,1008.2861439766825,77.81120432852072
chi Oct,283.69653938468963,-87.60585958523221,156.66000366210938,76.91999816894531,158.19991398175307,68.45112247897612
delta Cen,182.08971064522768,-50.72241717529297,956.25,1112.52001953125,953.113289311123,1113.6829561210832
delta Cir,229.23637884323486,-60.95741742960612,1076.6500244140625,236.47000122070312,1080.4059290098908,235.39603132735886
delta Cru,183.78614005049457,-58.74883358764649,808.6799926757812,902.760009765625,806.5625232689551,902.1196778845849
delta Mus,195.56793912892974,-71.54891615804037,615.9600219726562,523.5399780273438,615.9409522874892,520.1253099664585
delta Oct,216.72858842312823,-83.66780301242405,325.9100036621094,212.36000061035156,327.0945304108377,205.65833542559562
delta1 aps,245.08659031118498,-78.69580657280817,490.4700012207031,72.04000091552734,493.28848302609845,66.01936229320074
delta1 chamaeleontis,161.31531038289378,-80.46972273084853,235.97000122070312,458.260009765625,235.03771417328608,451.80568907530227
