starname,ra_act,dec_act,x_img_my4,y_img_my4,x_act_my4,y_act_my4
delta2 aps,245.1116404695278,-78.66733079020182,491.3800048828125,71.69000244140625,494.19801088620443,65.67543247968649
delta2 chamaeleontis,161.4436648446503,-80.5402494913737,235.72999572753906,455.80999755859375,234.8120182816274,449.3548053667307
epsilon Aps,215.59448488129303,-80.10888736300998,440.6300048828125,255.22000122070312,441.92884294110854,249.52493224205648
epsilon Cen,204.9719728150377,-53.46630631849501,1166.8699951171875,713.3599853515625,1167.4182673840892,714.6760115472332
epsilon Cha,179.90521683012415,-78.22188939751518,372.2699890136719,468.3500061035156,371.7656809478249,462.9428312082531
epsilon Cir,229.41185326821497,-63.610498474121094,990.1799926757812,225.5,993.703193347371,223.75095263829576
epsilon Cru,185.3397773012286,-60.40122374810113,791.0599975585938,848.6799926757812,789.2716418020564,847.7164914374875
epsilon Mus,184.3922355739465,-67.96071917046442,619.8099975585938,688.1599731445312,618.6009841371971,685.3679970022355
epsilon TrA,234.17990871246207,-66.31719342719184,907.010009765625,151.72000122070312,910.7609692206552,149.08409322416992
eta Aps,214.55670759277604,-81.00761111111112,410.29998779296875,250.8000030517578,411.5241263427163,244.87184257977242
eta Cha,130.33206603512306,-78.9634691704644,52.369998931884766,521.0999755859375,50.310498471476876,513.5293113594378
eta Cir,226.2006054007453,-64.0315313381619,969.6799926757812,271.3599853515625,972.7875493779532,269.6339255309956
eta Cru,181.72006478701158,-64.61366514078776,664.75,787.5800170898438,662.9603721684109,785.4722511326122
eta Mus,198.8120609028493,-67.8946090766059,729.739990234375,560.9299926757812,729.8514047098568,558.4845821315414
gamma Aps,248.3633485295512,-78.89705352105035,478.3699951171875,50.93000030517578,481.3056609454097,44.73962456477875
gamma Cen,190.37917099776772,-48.95963965182834,1116.72998046875,1032.719970703125,1114.7317176925276,1034.7899769035746
gamma Cha,158.86673132159748,-78.60766514078776,244.5,521.1099853515625,243.13737718247853,514.9594556580254
gamma Cir,230.84455986929405,-59.32077676052517,1134.5699462890625,213.50999450683594,1138.697935416586,212.78050145502073
gamma Cru,187.79146419856744,-57.11319291856554,891.469970703125,892.6699829101562,889.7250219981113,892.603316425447
gamma Mus,188.11663966959622,-72.13294647894965,555.280029296875,567.52001953125,554.722212912514,563.8249240855012
gamma TrA,229.7273802831117,-68.67941412353515,826.4000244140625,206.3699951171875,829.4640856217245,203.34108462111283
iota Car,139.27250889830805,-59.275305301242405,125.44999694824219,1182.5999755859375,118.85854613682159,1177.9362001287336
iota Cha,141.03807307452104,-80.78708282470703,122.2699966430664,466.04998779296875,120.8644324773611,458.7828004880959
iota Cru,191.40779975015948,-60.98122273084852,840.8400268554688,769.2999877929688,839.8128861159328,768.4241435387318
iota Lup,214.85091718538106,-46.05786034817166,1488.8199462890625,624.47998046875,1491.1379928257527,627.8470718417151
iota Oct,193.74474417134934,-85.12327981228299,249.1999969482422,256.44000244140625,249.78835186917013,249.33445546379903
iota1 musca,201.27989938240918,-74.88772018771701,556.3699951171875,420.17999267578125,556.8871907832192,415.9522901294295
iota1 norma,240.87721714374098,-57.775777523464626,1198.06005859375,25.15999984741211,1203.7904992688013,24.313993021060583
kappa Cha,181.19350653664813,-76.51908689371744,415.239990234375,505.7300109863281,414.619787587126,500.7743832738061
kappa Cru,193.45445061879792,-60.37683155314128,875.0999755859375,757.2899780273438,874.2862936082475,756.622037803055
kappa Oct,205.23249196518165,-85.78597171359593,245.10000610351562,217.24000549316406,245.95275153464195,209.96144959088394
kappa TrA,238.87300115168327,-68.6031095852322,831.1099853515625,91.05999755859375,835.0384838129194,87.6372923301841
kappa Vel,140.52852876839043,-55.01069444444445,154.30999755859375,1328.8900146484375,146.7741017161486,1324.943537558204
kappa1 aps,232.87817532375408,-73.38960907660591,675.2100219726562,162.17999267578125,678.0397428292949,157.86687665136026
kappa1 lupus,227.99009908128576,-48.74366692097982,1491.6199951171875,306.1600036621094,1496.1485208515828,308.2306258047828
kappa2 aps,235.08836502720928,-73.44672323947482,673.27001953125,140.30999755859375,676.2620431063409,135.90179104859646
kappa2 lupus,227.9835542951962,-48.7378058098687,1491.449951171875,305.989990234375,1496.3264976231571,308.40972936461327
lambda Cen,173.94503962466914,-63.01974974568685,609.9299926757812,891.7000122070312,607.1879073527194,889.5617512285444
lambda Cru,193.66310723423211,-59.146529557969835,907.0499877929688,778.5499877929688,906.196258073795,778.1933215027756
lambda Mus,176.40160907407477,-66.72869495307074,570.3900146484375,778.5399780273438,568.3335693918905,775.704821037659
mu chameleon,150.18135431448184,-82.21466361490886,163.22000122070312,415.07000732421875,162.32692447479712,407.9298475660464
mu1 crucis,193.65341295209947,-57.16822349378798,955.030029296875,816.9299926757812,954.3509343478953,817.1800218417254
mu2 crucis,193.6483887560307,-57.177779049343535,955.3200073242188,817.0499877929688,954.0633825895497,817.0577754241459
nu Cha,146.58804841120494,-76.77605911593967,172.75999450683594,597.3200073242188,170.60770934629204,590.9176744231663
nu2 lupus,230.45082203274825,-48.317637871636286,1519.300048828125,249.33999633789062,1524.5277145316427,251.58369904356454
omega Car,153.43423302052125,-70.03788838026259,281.6199951171875,799.8200073242188,278.37922585441993,794.9521764339042
omega Oct,227.7843861644706,-84.78755504692926,292.989990234375,165.97000122070312,294.3916619470983,158.85122740963754
omicron1 centaurus,172.94223590663074,-59.4422510172526,658.9600219726562,993.27001953125,655.6496681491889,991.8477279333085
omicron2 centaurus,172.95276338877483,-59.51566666666667,657.8499755859375,991.239990234375,654.5461958549954,989.810471835456
phi Vel,149.21560300095052,-54.56769342719184,330.6400146484375,1309.1800537109375,323.8584634413264,1306.4550234757726
pi Cen,170.25200384602743,-54.49100025431315,702.5599975585938,1151.800048828125,698.2468973897596,1151.2430713386113
pi Cha,174.31445218688202,-75.89647018771701,385.3599853515625,552.8400268554688,384.2887154860605,547.8505668781863
pi1 octantis,225.45891240485898,-83.22752828640408,346.19000244140625,182.00999450683594,347.67819256821394,175.35548351342277
pi2 octantis,226.1944605506612,-83.03819393581814,352.8900146484375,179.97000122070312,354.4181049420192,173.34665561140002
rho Cen,182.91302808023104,-52.3685537753635,932.969970703125,1061.9100341796875,930.1232333561827,1062.7319659853254
rho Lup,219.47158954303245,-49.42561238267687,1414.0799560546875,490.3399963378906,1417.1446469761788,492.6818650414299
rho Oct,235.82038873696328,-84.46524694824218,303.3500061035156,139.8000030517578,304.9843398168248,132.6588220271093
sigma Cen,187.01007755413792,-50.23077828640408,1038.93994140625,1055.3299560546875,1036.5060766672016,1056.9012187442902
sigma Lup,218.1538670461057,-50.45700076293945,1370.1099853515625,508.1499938964844,1372.8819040767116,510.2301835779852
sigma Oct,317.1891988925892,-88.95652472601996,107.02999877929688,105.16999816894531,108.18254622870563,96.44411759182788
tau Cen,189.42564689440374,-48.54122171359592,1113.5899658203125,1056.8399658203125,1111.3968822838046,1058.965043280352
theta Aps,211.3323743191273,-76.79672171359591,535.0900268554688,320.5,536.2572919933166,315.7425177276118
theta Car,160.73885344726872,-64.39438685438368,426.07000732421875,941.0800170898438,422.3083954767985,937.7668285722326
theta Cha,125.1606576261986,-77.48449643961588,5.130000114440918,562.1599731445312,2.5921139151887473,554.386617700198
theta Cir,224.18336232650933,-62.780833079020184,1004.010009765625,307.739990234375,1006.9716659718572,306.3915247950258
theta Mus,197.02916200039908,-65.3062530517578,783.5800170898438,624.9000244140625,783.4254863350816,623.0882753810704
theta Vol,129.7714257382932,-70.3868590766059,4.869999885559082,805.2100219726562,0.5731039714003145,798.3315029275573
theta1 crucis,180.75646146608844,-63.312888125949435,680.9199829101562,826.75,678.9162295431206,824.9013708971333
theta2 crucis,181.07983305909252,-63.16561263699002,687.3300170898438,827.3099975585938,685.3321331438156,825.5185585202893
upsilon Car,146.7779205323821,-65.07244342719184,230.6699981689453,974.1500244140625,226.0033508120573,969.4964710317122
upsilon1 centaurus,209.66986032032455,-44.80352701483832,1477.1099853515625,752.8599853515625,1478.438487145063,756.6032606074925
upsilon2 centaurus,210.43092521647597,-45.603470696343315,1459.4599609375,725.3699951171875,1460.9294055888927,728.8768547075227
xi1 centaurus,195.88818205589104,-49.52733307902018,1175.1700439453125,932.3599853515625,1174.1158033708678,934.5097261537536
xi2 centaurus,196.72753025911376,-49.90616819254557,1175.550048828125,911.1799926757812,1174.6508201292802,913.2586317717818
zeta Cen,208.8849075798462,-47.28830504692925,1389.6099853515625,733.3599853515625,1390.7764541163951,736.3837711844229
zeta Cha,143.471702025034,-80.94147323947483,135.50999450683594,460.67999267578125,134.1934739865444,453.5005593210078
zeta Cru,184.60880758948903,-64.00308333333334,706.2100219726562,775.530029296875,704.6655492039135,773.6864529952245
zeta Lup,228.0713552489765,-52.09913761732313,1372.27001953125,290.2300109863281,1376.6792182326126,291.5344694360536
zeta Oct,134.173401420373,-85.66305708143446,95.20999908447266,296.8500061035156,94.92643321978426,288.76427055971084
zeta1 musca,185.54947125067702,-68.3075308295356,622.010009765625,671.0999755859375,620.9283289146517,668.2675546844935
zeta2 musca,185.53081590242172,-67.522142449273,638.9600219726562,688.77001953125,637.8070066362433,686.1145318641774
