starname,ra_act,dec_act,x_img_px1,y_img_px1,x_act_px1,y_act_px1
phi_Vel,149.215591430664,-54.5677947998047,533.429088431,143.049883981,535.3817119444634,149.02305535728237
beta_Car,138.299896240234,-69.7172088623047,1053.02147146,194.160673459,1053.137753590794,201.65311345676514
hip_50676,155.228302001953,-56.0432205200195,551.7346994,272.185223921,553.724703899225,274.8919450672436
p_car,158.00617980957,-61.685359954834,721.145479229,357.946120177,720.7403998174037,361.65478932938936
omega_car,153.434234619141,-70.0379028320313,993.005300055,360.800216349,992.0231211674283,366.0846020295863
theta_car,160.739273071289,-64.3944778442383,797.531705538,413.992459785,797.7485340584064,416.3674616170939
delta1_cha,161.317977905273,-80.469596862793,1309.883072,499.627125544,1307.4516580103304,502.03774818618973
pi_cen,170.251708984375,-54.4910316467285,478.024036914,542.226316362,476.95066143329285,542.9092313537949
lambda_cen,173.945358276367,-63.0198402404785,747.20649376,596.655329585,745.1351962725263,597.5208628395269
j_cen,177.421203613281,-63.7884864807129,773.78488628,643.260464661,772.46673170216,643.8178194881235
gamma_mus,188.116729736328,-72.1329879760742,1050.00840502,717.341639689,1049.7793268773248,717.7477410596669
zeta_cru,184.609344482422,-64.0030670166016,795.457750045,739.575557713,794.3906387419764,739.1217674822968
alpha_mus,189.295913696289,-69.1355667114258,963.60517934,755.831874892,962.6308201931613,755.3243322103598
delta_cru,183.786315917969,-58.7489280700684,635.050019984,762.215254056,633.2716844900815,760.7971940977328
alpha1_cru,186.649566650391,-63.0990905761719,774.59128851,773.833203953,773.6769898819866,772.7540256742609
delta_cen,182.089630126953,-50.7224273681641,380.447995225,781.350367023,379.2085007233166,778.3142999284507
beta_mus,191.570022583008,-68.1081161499023,940.690195884,790.49799676,939.9338651422174,789.4384800208857
beta_cru,191.930267333984,-59.6887626647949,696.645176911,879.516679809,694.8986230958594,877.3980204179832
sigma_cen,187.009918212891,-50.2306365966797,387.302910531,880.58275311,384.83549221717215,878.1426853520293
lambda_cru,193.663269042969,-59.1467018127441,690.387079399,911.080925172,688.1489616057639,908.7943234398801
mu_cru,193.6484375,-57.1779174804688,632.591647774,931.894475893,630.6613587569577,929.8790023089749
gamma_cen,190.379272460938,-48.9597587585449,366.418264824,959.027161891,363.71187482509436,956.1160440952094
xi2_cen,196.727661132813,-49.9062461853027,438.945593422,1071.61783509,436.33525913050613,1069.355603918599
beta_cen,210.955856323242,-60.3730392456055,850.213584624,1135.88386334,848.5863476069947,1133.0238558169942
epsilon_cen,204.971908569336,-53.4663925170898,612.188792416,1167.94642283,609.2234646549068,1164.9312922520887
alpha1_cen,219.902069091797,-60.8339729309082,952.609572154,1237.21829961,950.0269441414549,1234.9376002822928
zeta_cen,208.88493347168,-47.2883758544922,479.527563047,1347.58682697,476.52639118765507,1345.62153130151
gamma_cir,230.844360351563,-59.3207855224609,1057.66689791,1398.54305368,1054.6928482546978,1399.240070073914
mu_cen,207.404113769531,-42.4737319946289,320.106504526,1409.78016698,316.88391015745754,1408.6030806107901
upsilon1_cen,209.669784545898,-44.8035850524902,417.877461267,1413.34267161,414.3784868061482,1410.6015901130959
nu_cen,207.376159667969,-41.6877098083496,295.699072792,1424.82758626,292.36548288759127,1423.5362385840667
sigma_lup,218.154403686523,-50.4571647644043,682.873564093,1448.89899958,679.65900683,1447.67797145
phi_cen,209.567779541016,-42.1007537841797,336.154325544,1465.68215933,333.28947011,1464.73986049
iota_lup,214.850921630859,-46.0580940246582,521.032451638,1490.17842958,518.35982448,1488.69903893
