starname,ra_act,dec_act,x_img_py3,y_img_py3,x_act_py3,y_act_py3
alpha Aps,221.96514474094425,-79.0447494913737,1271.47998046875,433.510009765625,1273.3560818932765,434.07087259372406
alpha Cir,220.6167979775984,-64.97855606418186,1207.3399658203125,883.8800048828125,1206.386331277512,884.7148326308435
alpha Lup,220.48245447118114,-47.38816844685872,1132.22998046875,1465.47998046875,1127.93444237035,1466.840210698733
alpha Mus,189.2956426966246,-69.13544240993923,896.0399780273438,627.8499755859375,896.1621188168515,626.6285340635138
alpha Vol,135.61180710953008,-66.39616463216146,513.530029296875,108.47000122070312,515.9359586258288,104.15322349840153
alpha1 centaurus,219.90067172406194,-60.835359839545355,1179.52001953125,1013.8400268554688,1177.9083981477893,1014.8397226535636
alpha1 crucis,186.64975937004945,-63.09902650621202,757.4500122070312,757.7000122070312,756.6068869973453,755.9101433861387
alpha2 centaurus,219.90067172406194,-60.835359839545355,1179.530029296875,1013.8400268554688,1177.9083981477893,1014.8397226535636
alpha2 crucis,186.64975937004945,-63.09902650621202,757.47998046875,757.7100219726562,756.6068869973453,755.9101433861387
beta Aps,250.7696051962683,-77.51750356038411,1480.1600341796875,444.1099853515625,1482.3418078279021,445.860802404731
beta Car,138.3003252806887,-69.71719495307075,627.0999755859375,133.00999450683594,629.5598312307256,129.38448132123403
beta Cen,210.95605869481992,-60.372970442030166,1037.47998046875,995.97998046875,1035.7341867840064,996.1467242600127
beta Cha,184.58599040717678,-79.31216971842449,1064.5899658203125,344.7099914550781,1066.6078460198826,343.93874878214046
beta Cir,229.3784836077583,-58.801249237060546,1336.25,1095.699951171875,1334.4048569105864,1097.7046904409153
beta Cru,191.93035864046823,-59.68869546169705,759.469970703125,888.8599853515625,757.9004521310848,887.288655347302
beta Mus,191.57039290296333,-68.10816514078776,899.0599975585938,668.760009765625,898.9518878260205,667.621702904386
beta TrA,238.78554847848648,-63.43058460489909,1479.3599853515625,933.0599975585938,1478.682788380244,935.6323956806661
chi Oct,283.69653938468963,-87.60585958523221,1382.010009765625,92.48999786376953,1386.0584595360237,93.03105606537429
delta Cen,182.08971064522768,-50.72241717529297,448.3399963378906,1005.0800170898438,445.63077464199466,1001.9194190693098
delta Cir,229.23637884323486,-60.95741742960612,1332.0799560546875,1023.7899780273438,1330.6364461388744,1025.6627826053898
delta Cru,183.78614005049457,-58.74883358764649,638.969970703125,834.6199951171875,637.5077979762083,832.282543853095
delta Mus,195.56793912892974,-71.54891615804037,992.489990234375,599.6300048828125,992.9411643371335,598.9084777325177
delta Oct,216.72858842312823,-83.66780301242405,1267.4200439453125,275.92999267578125,1270.193117223622,276.1811002793663
delta Vel,131.17596767640813,-54.70827854071723,95.37999725341797,42.0,97.41977932120676,35.206825542366005
delta1 aps,245.08659031118498,-78.69580657280817,1426.3699951171875,422.44000244140625,1428.5818690466208,423.8513910378283
delta1 chamaeleontis,161.31531038289378,-80.46972273084853,1012.8699951171875,215.9600067138672,1015.5442418016827,214.66212105003228
delta2 aps,245.1116404695278,-78.66733079020182,1426.8299560546875,423.29998779296875,1429.0323504670512,424.71033541105385
delta2 chamaeleontis,161.4436648446503,-80.5402494913737,1015.27001953125,215.44000244140625,1017.9417951401164,214.14727029988217
epsilon Aps,215.59448488129303,-80.10888736300998,1238.3499755859375,394.55999755859375,1240.3885080712535,394.85934880523587
epsilon Cen,204.9719728150377,-53.46630631849501,868.3200073242188,1168.3499755859375,865.334413020691,1167.80952171999
epsilon Cha,179.90521683012415,-78.22188939751518,1018.780029296875,351.9200134277344,1020.6826413398043,350.9040930404583
epsilon Cir,229.41185326821497,-63.610498474121094,1332.77001953125,936.5,1331.8344097198124,938.245504042876
epsilon Cru,185.3397773012286,-60.40122374810113,690.5,810.9000244140625,689.251251446437,808.8130712067049
epsilon Mus,184.3922355739465,-67.96071917046442,829.7000122070312,622.6300048828125,829.7439663201483,621.0220666277062
epsilon TrA,234.17990871246207,-66.31719342719184,1396.4100341796875,845.260009765625,1396.1047338004369,847.2079355300598
eta Aps,214.55670759277604,-81.00761111111112,1239.1700439453125,364.0,1241.38041803229,364.2587474105301
eta Cha,130.33206603512306,-78.9634691704644,929.219970703125,42.08000183105469,932.7421055833836,39.97721876330115
eta Cir,226.2006054007453,-64.0315313381619,1284.6800537109375,921.4099731445312,1283.7499090507254,922.8658826688976
eta Cru,181.72006478701158,-64.61366514078776,736.4099731445312,678.6900024414062,735.9806327273935,676.6430627998955
eta Mus,198.8120609028493,-67.8946090766059,968.6799926757812,716.760009765625,968.4173564849476,716.0889096429162
gamma Aps,248.3633485295512,-78.89705352105035,1445.93994140625,407.9700012207031,1448.2743570162158,409.46923973500634
gamma Cen,190.37917099776772,-48.95963965182834,545.780029296875,1155.1199951171875,542.3685283624709,1152.7294112931777
gamma Cha,158.86673132159748,-78.60766514078776,951.5800170898438,231.7899932861328,954.0472036808055,230.17817092939163
gamma Cir,230.84455986929405,-59.32077676052517,1361.81005859375,1078.7900390625,1360.0996372076431,1080.911560776277
gamma Cru,187.79146419856744,-57.11319291856554,658.52001953125,915.530029296875,656.6355815996899,913.4276610352239
gamma Mus,188.11663966959622,-72.13294647894965,941.7899780273438,544.6599731445312,942.4578948564757,543.5575768888602
gamma TrA,229.7273802831117,-68.67941412353515,1332.43994140625,771.489990234375,1332.4640331836172,772.971944121453
iota Car,139.27250889830805,-59.275305301242405,284.260009765625,192.19000244140625,285.79509743063767,186.7428289763484
iota Cha,141.03807307452104,-80.78708282470703,991.8900146484375,104.55999755859375,995.164142688196,102.93248345210327
iota Cru,191.40779975015948,-60.98122273084852,774.9199829101562,851.0700073242188,773.582186709694,849.5204224281447
iota Lup,214.85091718538106,-46.05786034817166,994.280029296875,1478.68994140625,989.7092743184463,1479.2798926050082
iota Oct,193.74474417134934,-85.12327981228299,1214.6199951171875,205.24000549316406,1217.7107530781864,205.0605046017631
iota1 musca,201.27989938240918,-74.88772018771701,1088.1099853515625,528.52001953125,1089.1201672196207,528.2185802108808
kappa Cha,181.19350653664813,-76.51908689371744,986.72998046875,398.80999755859375,988.3109999430558,397.70493822793856
kappa Cru,193.45445061879792,-60.37683155314128,790.8099975585938,883.6599731445312,789.3066873597038,882.2544972176293
kappa Oct,205.23249196518165,-85.78597171359593,1253.050048828125,196.5500030517578,1256.2627733841005,196.57369885629032
kappa TrA,238.87300115168327,-68.6031095852322,1447.8399658203125,762.77001953125,1448.097478878345,764.8888942668815
kappa Vel,140.52852876839043,-55.01069444444445,143.44000244140625,237.80999755859375,144.48736564245473,231.66235252506067
kappa1 aps,232.87817532375408,-73.38960907660591,1358.550048828125,616.22998046875,1359.5097388728725,617.5925260241575
kappa1 lupus,227.99009908128576,-48.74366692097982,1311.72998046875,1445.280029296875,1307.970519835882,1447.4284380489535
kappa2 aps,235.08836502720928,-73.44672323947482,1380.0799560546875,611.760009765625,1381.1083866755944,613.2377267214341
kappa2 lupus,227.9835542951962,-48.7378058098687,1311.8800048828125,1445.0799560546875,1307.8136139190524,1447.6262758438857
lambda Cen,173.94503962466914,-63.01974974568685,626.989990234375,636.52001953125,626.6250106208797,633.7956692512001
lambda Cru,193.66310723423211,-59.146529557969835,773.4400024414062,917.8099975585938,771.7117395738292,916.3617148453344
lambda Mus,176.40160907407477,-66.72869495307074,734.4400024414062,584.219970703125,734.5455970586797,582.0121708343095
mu chameleon,150.18135431448184,-82.21466361490886,1047.1800537109375,138.97999572753906,1050.3494729062381,137.72324940261433
mu1 crucis,193.65341295209947,-57.16822349378798,740.9400024414062,969.8400268554688,738.7920836068994,968.587254302644
mu2 crucis,193.6483887560307,-57.177779049343535,740.8599853515625,970.1400146484375,738.8792896879261,968.2882842759349
nu Cha,146.58804841120494,-76.77605911593967,867.760009765625,169.9199981689453,870.4408653009668,167.73664609252614
nu1 lupus,230.53464862247418,-47.927890160454645,1374.4200439453125,1481.239990234375,1370.3874663562442,1483.9918231421427
nu2 lupus,230.45082203274825,-48.317637871636286,1371.699951171875,1466.4300537109375,1367.7532976266411,1469.1502986484961
omega Car,153.43423302052125,-70.03788838026259,680.010009765625,301.25,681.6154438446392,298.23614033646504
omega Oct,227.7843861644706,-84.78755504692926,1309.6199951171875,237.88999938964844,1312.6945848126866,238.30068250356862
omicron1 centaurus,172.94223590663074,-59.4422510172526,532.1599731445312,696.8400268554688,531.3001220367228,693.6784004077986
omicron2 centaurus,172.95276338877483,-59.51566666666667,534.0399780273438,695.510009765625,533.1822716520514,692.3494138959325
phi Vel,149.21560300095052,-54.56769342719184,182.8300018310547,409.2799987792969,182.99214483903847,403.6525070112423
pi Cen,170.25200384602743,-54.49100025431315,380.4599914550781,758.3599853515625,379.0146904978838,754.4405361366441
pi Cha,174.31445218688202,-75.89647018771701,936.5399780273438,374.7799987792969,938.1630361721694,373.3482519065117
pi1 octantis,225.45891240485898,-83.22752828640408,1299.9599609375,292.42999267578125,1302.688630126612,292.90369616553517
pi2 octantis,226.1944605506612,-83.03819393581814,1302.780029296875,298.8299865722656,1305.48456640505,299.32322073513023
rho Cen,182.91302808023104,-52.3685537753635,495.739990234375,976.1799926757812,493.2633184984698,973.2434446833752
rho Lup,219.47158954303245,-49.42561238267687,1119.030029296875,1388.9300537109375,1115.154286880785,1390.1168875927474
rho Oct,235.82038873696328,-84.46524694824218,1336.8499755859375,245.05999755859375,1339.9299228277202,245.63833548004368
sigma Cen,187.01007755413792,-50.23077828640408,514.4299926757812,1080.510009765625,511.4044760770503,1077.83541654413
sigma Lup,218.1538670461057,-50.45700076293945,1096.1300048828125,1347.1500244140625,1092.4612854111606,1348.1399352034502
tau Cen,189.42564689440374,-48.54122171359592,521.530029296875,1154.77001953125,518.0881311291046,1152.2300926563685
tau1 lupus,216.53431117646954,-45.22138939751519,1027.3599853515625,1519.6099853515625,1022.5997319600214,1520.4381574432568
tau2 lupus,216.54505945661663,-45.37938710869683,1028.68994140625,1514.050048828125,1023.9696791856425,1514.8829418630035
theta Aps,211.3323743191273,-76.79672171359591,1184.6099853515625,495.7900085449219,1185.971933597317,495.9630432386325
theta Car,160.73885344726872,-64.39438685438368,557.0,460.4800109863281,557.498079888197,457.0478669441777
theta Cir,224.18336232650933,-62.780833079020184,1252.52001953125,959.75,1251.3231615677564,961.0782362228852
theta Mus,197.02916200039908,-65.3062530517578,911.47998046875,777.5700073242188,910.7733835151757,776.688089732245
theta Vol,129.7714257382932,-70.3868590766059,642.780029296875,28.8700008392334,645.8561094916912,25.120802668839588
theta1 crucis,180.75646146608844,-63.312888125949435,699.47998046875,699.260009765625,698.8821346883439,697.0463018809959
theta2 crucis,181.07983305909252,-63.16561263699002,699.6599731445312,705.6599731445312,699.0232474431368,703.4590628764352
upsilon Car,146.7779205323821,-65.07244342719184,501.8900146484375,271.42999267578125,503.39188509262345,267.381297867217
upsilon1 centaurus,209.66986032032455,-44.80352701483832,865.22998046875,1481.6099853515625,860.4492398193288,1481.4734330944261
upsilon2 centaurus,210.43092521647597,-45.603470696343315,890.5,1460.9000244140625,885.8827330919901,1460.8795255923505
xi1 centaurus,195.88818205589104,-49.52733307902018,651.97998046875,1201.6800537109375,648.4669465560378,1199.9472190568636
xi2 centaurus,196.72753025911376,-49.90616819254557,673.02001953125,1199.6199951171875,669.5552471573377,1198.0148581990652
zeta Cen,208.8849075798462,-47.28830504692925,874.4199829101562,1392.239990234375,870.1581458671569,1392.037599142043
zeta Cha,143.471702025034,-80.94147323947483,998.75,117.01000213623047,1001.9596957442636,115.43724992287434
zeta Cru,184.60880758948903,-64.00308333333334,753.1500244140625,718.3599853515625,752.5203117298365,716.4773223579408
zeta Lup,228.0713552489765,-52.09913761732313,1313.489990234375,1324.4100341796875,1310.2779329803798,1326.615451559644
zeta Oct,134.173401420373,-85.66305708143446,1156.43994140625,57.810001373291016,1160.2726863743737,57.01428132475894
zeta1 musca,185.54947125067702,-68.3075308295356,846.8599853515625,622.8200073242188,846.9299704438553,621.3068880868408
zeta2 musca,185.53081590242172,-67.522142449273,831.3200073242188,641.6599731445312,831.2633302951884,640.0907799232325
