starname,ra_act,dec_act,x_img_px2,y_img_px2,x_act_px2,y_act_px2
alpha Mus,189.2956426966246,-69.13544240993923,355.2096862792969,758.157958984375,354.521296014477,755.8185766873626
alpha1 Crucis,186.64975937004945,-63.09902650621202,151.00425720214844,773.9686889648438,150.7037121184943,773.2613876997389
alpha2 centaurus,219.90067172406194,-60.835359839545355,342.0899353027344,1246.48193359375,339.2827058030708,1245.8995037441578
beta Mus,191.57039290296333,-68.10816514078776,331.2408447265625,793.04150390625,330.6914105462804,790.633756490302
beta cen,210.95605869481992,-60.372970442030166,233.80908203125,1150.1739501953125,231.6355236368264,1148.956537953402
beta cru,191.93035864046823,-59.68869546169705,60.706520080566406,887.2330932617188,60.63034384047569,885.5914959264557
gamma Mus,188.11663966959622,-72.13294647894965,444.29736328125,720.426025390625,443.7365709985774,718.5886017716329
gamma Tra,229.7273802831117,-68.67941412353515,610.7188110351562,1129.9383544921875,608.0421683877242,1128.2657518351104
lambda Cru,193.66310723423211,-59.146529557969835,55.68870544433594,921.0950927734375,52.6640575083602,919.525886041692
zeta cru,184.60880758948903,-64.00308333333334,174.3719940185547,738.6182861328125,173.9449223823375,737.8577206798799
