starname,ra_act,dec_act,x_img_py2,y_img_py2,x_act_py2,y_act_py2
alpha Car,95.98822438126011,-52.69566768391927,1360.449951171875,561.77001953125,1361.0933285853007,563.3090214789072
alpha Cha,124.63177058180328,-76.91963634575738,936.72998046875,1306.6800537109375,933.2470021212338,1305.9971138044857
alpha Men,92.55992791082012,-74.75302777777777,1198.4200439453125,1266.8399658203125,1195.1761949351044,1267.5838330447896
alpha Pic,102.04765904065222,-61.941389906141495,1187.8199462890625,832.8400268554688,1186.9413911020652,833.5166625720074
alpha Vol,135.61180710953008,-66.39616463216146,744.6599731445312,1004.0700073242188,742.8020598224455,1002.3597645089773
alpha1 crucis,186.64975937004945,-63.09902650621202,150.27000427246094,1423.75,146.23147400655012,1418.751557284505
alpha2 crucis,186.64975937004945,-63.09902650621202,150.25999450683594,1423.7900390625,146.23147400655012,1418.751557284505
beta Car,138.3003252806887,-69.71719495307075,752.3200073242188,1114.0899658203125,749.8650263807386,1112.4238816075122
beta Dor,83.40627916013868,-62.48988914320204,1464.4100341796875,940.7899780273438,1463.0010401801424,942.9748647113039
beta Men,75.67952127445676,-71.3138919406467,1405.0,1250.3399658203125,1401.8821521396635,1252.196760001141
beta Pyx,130.02589169035434,-35.30819368150499,556.47998046875,8.59000015258789,559.9231722575589,5.7005090570769426
beta Vol,126.43411637251964,-66.13699796549479,853.3200073242188,965.2899780273438,851.67865167628,964.1700249851402
chi Car,119.19451054266189,-52.982194953070746,905.8099975585938,544.0499877929688,906.4475158497763,543.1617852824644
delta Cru,183.78614005049457,-58.74883358764649,36.060001373291016,1313.699951171875,32.62528063542561,1308.1052069284056
delta Dor,86.19337322464632,-65.73549643961589,1377.5899658203125,1019.2899780273438,1375.7358133404564,1021.006101145352
delta Pic,92.57451724301977,-54.968611619737416,1405.6400146484375,651.1199951171875,1405.8188038802139,652.931842540679
delta Vel,131.17596767640813,-54.70827854071723,699.6300048828125,637.7000122070312,699.7307266717048,635.7234511425236
delta Vol,109.2073209928372,-67.9573580593533,1068.449951171875,1010.0,1066.5931826813367,1010.0438647816709
epsilon Ant,142.31141933884052,-35.951528540717234,243.5399932861328,137.99000549316406,246.26471992927054,133.49783032733012
epsilon Car,125.62847110975814,-59.5095,824.4099731445312,760.9600219726562,823.865161622372,759.6624540216523
epsilon Cru,185.3397773012286,-60.40122374810113,74.12999725341797,1364.7099609375,70.43227987648106,1359.3121317272698
epsilon Dor,87.47325177705521,-66.90119597032336,1345.3599853515625,1046.969970703125,1343.3453848115626,1048.5161580221857
epsilon Men,111.40846214416855,-79.09403032090928,1032.5999755859375,1377.469970703125,1028.7381410157664,1377.2924262664706
epsilon Mus,184.3922355739465,-67.96071917046442,319.7200012207031,1460.1800537109375,315.46150870258566,1456.1012242543857
epsilon Vol,121.98249196518167,-68.61716870117188,919.3499755859375,1033.8900146484375,917.3444386598708,1033.1259245529754
eta Ant,149.71760684697796,-35.89108511352539,53.36000061035156,223.10000610351562,55.640077677654745,217.6101156930181
eta Cha,130.33206603512306,-78.9634691704644,913.9299926757812,1383.6800537109375,910.0270930625607,1382.8679860822367
eta Cru,181.72006478701158,-64.61366514078776,236.5500030517578,1373.780029296875,232.7681827495186,1369.2633688753363
eta Men,73.79668836263893,-74.93691768391928,1348.0999755859375,1362.3199462890625,1344.353298370962,1363.8737716004746
eta Vol,125.51900945826014,-73.4003904147678,908.239990234375,1191.93994140625,905.372890221228,1191.1262859605126
eta1 dorado,91.5392978785378,-66.03961060248481,1303.4599609375,999.6900024414062,1301.6904520565336,1001.0043326621467
eta2 dorado,92.81226087085204,-65.58950254313152,1291.3699951171875,979.9000244140625,1289.7124773804812,981.1502901638272
gamma Cha,158.86673132159748,-78.60766514078776,749.3099975585938,1464.3699951171875,744.9806318628277,1462.6356674063288
gamma Hyi,56.80991124681989,-74.23894088406033,1488.5799560546875,1473.489990234375,1484.233991473679,1475.8005411166894
gamma Men,82.97093131502345,-76.34100254313151,1253.3299560546875,1354.1199951171875,1249.609470885954,1355.156940547712
gamma Pic,87.45668776082853,-56.16666793823242,1487.97998046875,719.97998046875,1487.8107727058182,722.2488207072307
gamma1 vela,122.3832703418238,-47.33666539510091,821.219970703125,374.1000061035156,822.4844165136223,372.46245199878877
gamma1 volans,107.18704507055972,-70.49899643961588,1085.5400390625,1093.8399658203125,1083.0967300748796,1094.015957983383
gamma2 vela,122.37203047367,-47.34569317287869,820.9400024414062,373.8399963378906,822.762960423442,372.71603033235306
gamma2 volans,107.17561356640327,-70.497107550727,1085.4100341796875,1093.8800048828125,1083.226038089089,1093.9710279087078
iota Car,139.27250889830805,-59.275305301242405,616.6300048828125,815.9099731445312,615.7788343667827,813.512115657502
iota Cha,141.03807307452104,-80.78708282470703,877.1300048828125,1466.27001953125,872.7846753918166,1465.2464371052824
iota Cru,191.40779975015948,-60.98122273084852,41.790000915527344,1476.949951171875,37.50688055758144,1471.3496621747856
iota Vol,102.86213205753452,-70.9634691704644,1129.81005859375,1116.2900390625,1127.378102556755,1116.6743360451958
kappa Men,87.56837239293567,-79.36135958523221,1177.8599853515625,1430.3599853515625,1173.7256759571928,1430.9808245446725
kappa Vel,140.52852876839043,-55.01069444444445,544.9000244140625,702.1900024414062,544.6412822219357,699.3970322121551
kappa1 volans,124.95434230279643,-71.51497222222223,902.2999877929688,1130.449951171875,899.7682300827817,1129.5880637964028
kappa2 volans,125.01894280225923,-71.49669088406033,901.760009765625,1130.219970703125,899.0243590470642,1129.1115336403323
lambda Cen,173.94503962466914,-63.01974974568685,259.95001220703125,1241.5699462890625,256.85725163436547,1237.2167122174747
lambda Mus,176.40160907407477,-66.72869495307074,340.0899963378906,1341.9599609375,336.45939493808567,1338.0234548338613
lambda Vel,136.9991268034093,-43.43255682712131,472.6300048828125,331.1700134277344,474.35450010020026,327.92903208632606
mu Men,70.76676815022947,-70.9309974568685,1460.6300048828125,1276.800048828125,1457.3694772924719,1278.9688591411418
mu Pic,97.99318608732801,-58.75416666666667,1273.550048828125,745.760009765625,1273.1686443514427,746.883961590299
nu Cha,146.58804841120494,-76.77605911593967,783.3900146484375,1358.68994140625,779.617258873069,1357.1762792726859
nu Dor,92.18431217452232,-68.84333587646485,1265.239990234375,1083.1600341796875,1263.0069707097928,1084.2747211089463
nu Pic,95.7326336091836,-56.3700537753635,1332.8599853515625,679.9600219726562,1332.8532571840178,681.3926866546084
omega Car,153.43423302052125,-70.03788838026259,612.5800170898438,1205.9100341796875,609.635166350039,1203.4634501248177
omicron1 centaurus,172.94223590663074,-59.4422510172526,174.1999969482422,1157.469970703125,171.56256704862324,1152.6587929100967
omicron2 centaurus,172.95276338877483,-59.51566666666667,176.0500030517578,1159.0999755859375,173.4073783885898,1154.2883190339999
phi Vel,149.21560300095052,-54.56769342719184,397.0299987792969,761.2000122070312,396.46951888612944,757.6078221474561
pi Cen,170.25200384602743,-54.49100025431315,76.8499984741211,1015.2000122070312,74.96364031008113,1009.8835620326298
pi Cha,174.31445218688202,-75.89647018771701,606.739990234375,1495.0799560546875,602.2554204287173,1492.5561781442118
pi Men,84.29091428655991,-80.46905606418186,1179.6500244140625,1475.8299560546875,1175.268778835672,1476.444222185576
pi1 dorado,95.65907038017689,-69.98407977294922,1214.68994140625,1105.2099609375,1212.3336242792489,1106.0435447247864
pi2 dorado,96.3691892616311,-69.69022323947483,1209.3199462890625,1093.510009765625,1207.0248490424106,1094.3148553745368
psi Vel,142.6750303263953,-40.46669495307075,304.32000732421875,288.489990234375,306.25115328990455,284.3443832713183
sigma Pup,112.31424388687918,-43.29955504692926,1040.3800048828125,219.27999877929688,1042.6446403507089,218.96216008622878
tau Pup,102.48399589120224,-50.61474847412109,1240.949951171875,471.7699890136719,1242.0643004365938,472.6580393615777
theta Car,160.73885344726872,-64.39438685438368,428.4200134277344,1123.1700439453125,425.9423993053226,1119.7405161382037
theta Cha,125.1606576261986,-77.48449643961588,936.4000244140625,1326.3299560546875,932.8158696483922,1325.6472113259265
theta Dor,78.43891143858527,-67.18530657280816,1452.8800048828125,1114.27001953125,1450.5167748486028,1116.4037855281022
theta Men,104.14284797595488,-79.4202196790907,1077.030029296875,1395.4200439453125,1073.0791400695562,1395.4948525476898
theta Vol,129.7714257382932,-70.3868590766059,845.9299926757812,1105.3299560546875,843.540716896924,1104.1621913071535
theta1 crucis,180.75646146608844,-63.312888125949435,205.5399932861328,1339.1500244140625,201.9393903586108,1334.4854597454378
theta2 crucis,181.07983305909252,-63.16561263699002,198.32000732421875,1341.3599853515625,194.71402116455783,1336.6467864704478
upsilon Car,146.7779205323821,-65.07244342719184,596.8499755859375,1026.93994140625,594.8476007971894,1024.4611292227387
zeta Cha,143.471702025034,-80.94147323947483,867.97998046875,1477.31005859375,863.5759893493638,1476.2289859555833
zeta Cru,184.60880758948903,-64.00308333333334,195.0,1405.5999755859375,191.05286919462208,1400.849949024091
zeta Men,100.01110239015193,-80.8135030517578,1092.4300537109375,1449.7900390625,1088.1854799457876,1449.9372529026246
zeta Pup,120.89613911599992,-40.003194444444446,823.510009765625,125.22000122070312,826.3919679863874,123.77350821615869
zeta Vol,115.46715275297174,-72.60827625189887,999.0599975585938,1157.3699951171875,996.2779664569384,1157.1118601683506
zeta1 musca,185.54947125067702,-68.3075308295356,323.4200134277344,1479.739990234375,319.06333686225463,1475.6786195433626
zeta2 antlia,142.8841910278364,-31.871805682712132,160.72999572753906,2.740000009536743,164.15843118895225,2.238370944034159
zeta2 musca,185.53081590242172,-67.522142449273,298.9100036621094,1468.56005859375,294.61790024520326,1464.3707502651291
