starname,ra_act,dec_act,x_img_mx1,y_img_mx1,x_act_mx1,y_act_mx1
alpha Lup,220.48245447118114,-47.38816844685872,625.1792602539062,1381.6798095703125,626.1227848395081,1381.7512772450414
alpha Mus,189.2956426966246,-69.13544240993923,248.73736572265625,607.247802734375,248.60061019772297,606.4582858941535
alpha1 Cen,219.90067172406194,-60.835359839545355,597.9553833007812,943.1541137695312,598.1315062387761,941.5841154752175
alpha2 cru,186.64975937004945,-63.09902650621202,120.7647933959961,765.2412719726562,121.29523264690079,764.3488008071275
beta Cen,210.95605869481992,-60.372970442030166,458.8459777832031,953.7803955078125,458.4829125859169,952.767014953773
beta Cru,191.93035864046823,-59.68869546169705,148.1502227783203,902.2528076171875,148.40815584995926,901.3920041518177
beta Mus,191.57039290296333,-68.10816514078776,259.1908874511719,648.9105834960938,259.24914438310134,648.2063111750673
delta Cir,229.23637884323486,-60.95741742960612,738.5457153320312,922.7505493164062,738.689404194982,921.6035702122326
delta1 Cha,161.31531038289378,-80.46972273084853,299.3550720214844,165.57427978515625,297.91562962934654,168.34209943836822
epsilon Cen,204.9719728150377,-53.46630631849501,316.7747497558594,1163.174072265625,316.60921094450146,1162.568676990364
gamma Mus,188.11663966959622,-72.13294647894965,281.96881103515625,515.1424560546875,282.1032501375789,514.4591992118471
iota Lup,214.85091718538106,-46.05786034817166,496.3339538574219,1433.847412109375,497.07019664785514,1433.5724683793449
lambda Cru,193.66310723423211,-59.146529557969835,169.76712036132812,929.2577514648438,169.25173920977386,928.615064140816
mu1 Cru,193.65341295209947,-57.16822349378798,142.86265563964844,990.5493774414062,143.1013827987574,990.1340935700204
rho Lup,219.47158954303245,-49.42561238267687,601.27294921875,1313.0555419921875,601.6042806963871,1313.0252426885904
sigma Lup,218.1538670461057,-50.45700076293945,573.2396850585938,1279.3511962890625,573.3096605881952,1279.3070586107112
tau1 lupus,216.53431117646954,-45.22138939751519,535.3380126953125,1463.3187255859375,535.8602802939912,1463.0951549499337
theta Cir,224.18336232650933,-62.780833079020184,656.8890991210938,877.4393310546875,657.1436412939646,876.1263396898914
upsilon1 centaurus,209.66986032032455,-44.80352701483832,367.9931945800781,1475.8795166015625,368.6286127270439,1475.1893504613645
zeta Cen,208.8849075798462,-47.28830504692925,362.37939453125,1384.5194091796875,362.4133975521345,1384.1502515496773
zeta Cru,184.60880758948903,-64.00308333333334,108.0457763671875,724.3290405273438,108.96882828960042,723.630020767961
